Data is to be used only for analysis purposes related to broadband mapping,,,,
For questions contact bbdata@microsoft.com,,,,
,,,,
Broadband availability in the United States based on the FCC,,,,
Fourteenth Broadband Deployment Report: https://www.fcc.gov/reports-research/reports/broadband-progress-reports/fourteenth-broadband-deployment-report,,,,
Form 477 data as of December 2019,,,,
,,,,
Broadband* usage in the United States based on Microsoft data,,,,
Data for October 2020,,,,
* Download speed benchmark of 25Mbps,,,,
,,,,
Field list,Notes,,,
TX,48191,Hall County,0.6552,0.01
TX,48193,Hamilton County,0.9381,0.218
TX,48195,Hansford County,0.9215,0.259
TX,48197,Hardeman County,0.9883,0.019
TX,48199,Hardin County,0.8162,0.539
TX,48201,Harris County,0.9468,0.708
TX,48203,Harrison County,0.8222,0.32
TX,48205,Hartley County,0.8937,0.093
TX,48207,Haskell County,0.9721,0.309
TX,48209,Hays County,0.9717,0.794
TX,48211,Hemphill County,0.0937,0.219
TX,48213,Henderson County,0.6631,0.298
TX,48215,Hidalgo County,0.9979,0.567
TX,48217,Hill County,0.9996,0.345
TX,48219,Hockley County,0.9726,0.32
TX,48221,Hood County,1,0.71
TX,48223,Hopkins County,0.7802,0.465
TX,48225,Houston County,0.6894,0.216
TX,48227,Howard County,0.8502,0.482
TX,48229,Hudspeth County,0.6193,0.23
TX,48231,Hunt County,0.9673,0.422
TX,48233,Hutchinson County,0.9932,0.559
TX,48235,Irion County,0.8118,0.102
TX,48237,Jack County,0.9987,0.069
TX,48239,Jackson County,0.7434,0.362
TX,48241,Jasper County,0.3539,0.234
TX,48243,Jeff Davis County,0.4877,0.101
TX,48245,Jefferson County,0.9497,0.593
TX,48247,Jim Hogg County,0.9762,0.038
TX,48249,Jim Wells County,1,0.482
TX,48251,Johnson County,1,0.511
TX,48253,Jones County,0.63,0.093
TX,48255,Karnes County,1,0.091
TX,48257,Kaufman County,0.9182,0.508
TX,48259,Kendall County,0.9328,0.884
TX,48261,Kenedy County,0.2327,0.114
TX,48263,Kent County,0.8241,0.56
TX,48265,Kerr County,0.9687,0.541
TX,48267,Kimble County,0.7973,0.32
TX,48269,King County,0.4853, -   
TX,48271,Kinney County,0.0221,0.091
TX,48273,Kleberg County,0.9722,0.345
TX,48275,Knox County,0.9992,0.156
TX,48277,Lamar County,0.9989,0.542
TX,48279,Lamb County,0.9139,0.266
TX,48281,Lampasas County,0.9265,0.114
TX,48283,La Salle County,0.7364,0.159
TX,48285,Lavaca County,0.9125,0.211
TX,48287,Lee County,1,0.212
TX,48289,Leon County,0.6193,0.323
TX,48291,Liberty County,0.7019,0.398
TX,48293,Limestone County,0.8923,0.239
TX,48295,Lipscomb County,0.742,0.076
TX,48297,Live Oak County,1,0.324
TX,48299,Llano County,0.9184,0.272
TX,48301,Loving County,0.3018,0.941
TX,48303,Lubbock County,0.9919,0.555
TX,48305,Lynn County,0.9953,0.394
TX,48307,McCulloch County,1,0.141
TX,48309,McLennan County,1,0.609
TX,48311,McMullen County,0.9825,0.074
TX,48313,Madison County,0.4536,0.128
TX,48315,Marion County,0.5987,0.052
TX,48317,Martin County,0.8593,0.599
TX,48319,Mason County,0.9988,0.356
TX,48321,Matagorda County,0.7992,0.36
TX,48323,Maverick County,0.9352,0.519
TX,48325,Medina County,0.9977,0.227
TX,48327,Menard County,0.9097,0.05
TX,48329,Midland County,0.9911,0.76
TX,48331,Milam County,1,0.091
TX,48333,Mills County,0.8812,0.298
TX,48335,Mitchell County,0.9183,0.146
TX,48337,Montague County,0.9882,0.194
TX,48339,Montgomery County,0.9394,0.814
TX,48341,Moore County,0.9924,0.291
TX,48343,Morris County,0.6935,0.095
TX,48345,Motley County,0.8967,0.241
TX,48347,Nacogdoches County,0.6558,0.501
TX,48349,Navarro County,0.9809,0.202
TX,48351,Newton County,0.3008,0.057
TX,48353,Nolan County,0.7501,0.386
TX,48355,Nueces County,0.9946,0.614
TX,48357,Ochiltree County,0.8829,0.238
TX,48359,Oldham County,0.7557,0.199
TX,48361,Orange County,0.8977,0.621
TX,48363,Palo Pinto County,0.9999,0.382
TX,48365,Panola County,0.6039,0.21
TX,48367,Parker County,1,0.522
TX,48369,Parmer County,0.6667,0.165
TX,48371,Pecos County,0.7909,0.378
TX,48373,Polk County,0.7764,0.294
TX,48375,Potter County,0.9949,0.386
TX,48377,Presidio County,0.3104,0.124
TX,48379,Rains County,0.9735,0.163
TX,48381,Randall County,0.9815,0.641
TX,48383,Reagan County,0.8306,0.149
TX,48385,Real County,0.6918,0.252
TX,48387,Red River County,0.8708,0.167
TX,48389,Reeves County,0.9354,0.238
TX,48391,Refugio County,0.7543,0.331
TX,48393,Roberts County,0.7576,0.136
TX,48395,Robertson County,0.919,0.1
TX,48397,Rockwall County,0.9952,0.829
TX,48399,Runnels County,0.9358,0.27
TX,48401,Rusk County,0.7639,0.352
TX,48403,Sabine County,0.6928,0.26
TX,48405,San Augustine County,0.2338,0.067
TX,48407,San Jacinto County,0.8058,0.175
TX,48409,San Patricio County,0.9937,0.487
TX,48411,San Saba County,0.8048,0.264
TX,48413,Schleicher County,0.218,0.081
TX,48415,Scurry County,0.7106,0.519
TX,48417,Shackelford County,0.2438,0.052
TX,48419,Shelby County,0.2617,0.056
TX,48421,Sherman County,0.5893,0.123
TX,48423,Smith County,0.8738,0.675
TX,48425,Somervell County,0.9998,0.297
TX,48427,Starr County,0.962,0.638
TX,48429,Stephens County,0.9996,0.32
TX,48431,Sterling County,0.4082,0.397
TX,48433,Stonewall County,0.8822,0.256
TX,48435,Sutton County,0.6427,0.244
TX,48437,Swisher County,0.8787,0.169
TX,48439,Tarrant County,0.9989,0.774
TX,48441,Taylor County,0.959,0.629
TX,48443,Terrell County,0.8183,0.345
TX,48445,Terry County,0.9965,0.296
TX,48447,Throckmorton County,0.7402,0.081
TX,48449,Titus County,0.6171,0.603
TX,48451,Tom Green County,0.9506,0.732
TX,48453,Travis County,0.9977,0.741
TX,48455,Trinity County,0.7368,0.149
TX,48457,Tyler County,0.4081,0.07
TX,48459,Upshur County,0.9258,0.345
TX,48461,Upton County,0.108,0.083
TX,48463,Uvalde County,0.9973,0.368
TX,48465,Val Verde County,0.9698,0.548
TX,48467,Van Zandt County,0.9363,0.393
TX,48469,Victoria County,0.8671,0.63
TX,48471,Walker County,0.7063,0.565
TX,48473,Waller County,0.9322,0.364
TX,48475,Ward County,0.9753,0.159
TX,48477,Washington County,0.8933,0.36
TX,48479,Webb County,0.9824,0.729
TX,48481,Wharton County,0.8601,0.287
TX,48483,Wheeler County,0.9769,0.078
TX,48485,Wichita County,0.9797,0.566
TX,48487,Wilbarger County,0.9915,0.215
TX,48489,Willacy County,1,0.412
TX,48491,Williamson County,0.965,0.899
TX,48493,Wilson County,1,0.419
TX,48495,Winkler County,0.4177,0.07
TX,48497,Wise County,0.9985,0.177
TX,48499,Wood County,0.7868,0.254
TX,48501,Yoakum County,0.8651,0.146
TX,48503,Young County,0.9997,0.394
TX,48505,Zapata County,0.8133,0.388
TX,48507,Zavala County,0.8035,0.394
UT,49001,Beaver County,0.9472,0.204
UT,49003,Box Elder County,0.919,0.641
UT,49005,Cache County,0.9972,0.834
UT,49007,Carbon County,0.9207,0.82
UT,49009,Daggett County,0.8821,0.649
UT,49011,Davis County,0.9924,0.831
UT,49013,Duchesne County,0.6999,0.381
UT,49015,Emery County,0.8094,0.722
UT,49017,Garfield County,0.984,0.425
UT,49019,Grand County,0.5325,0.813
UT,49021,Iron County,0.959,0.693
UT,49023,Juab County,0.8356,0.545
UT,49025,Kane County,0.9525,0.759
UT,49027,Millard County,0.6765,0.24
UT,49029,Morgan County,0.8689,0.325
UT,49031,Piute County,0.9973,0.204
UT,49033,Rich County,0.8647,0.559
UT,49035,Salt Lake County,0.9941,0.869
UT,49037,San Juan County,0.2953,0.231
UT,49039,Sanpete County,0.9419,0.655
UT,49041,Sevier County,0.964,0.384
UT,49043,Summit County,0.8212,0.729
UT,49045,Tooele County,0.8519,0.61
UT,49047,Uintah County,0.7867,0.516
UT,49049,Utah County,0.9287,0.83
UT,49051,Wasatch County,0.8791,0.649
UT,49053,Washington County,0.9772,0.819
UT,49055,Wayne County,0.8963,0.19
UT,49057,Weber County,0.9816,0.811
VT,50001,Addison County,0.9237,0.227
VT,50003,Bennington County,0.9684,0.601
VT,50005,Caledonia County,0.8509,0.256
VT,50007,Chittenden County,0.9776,0.699
VT,50009,Essex County,0.7271,0.06
VT,50011,Franklin County,0.9028,0.49
VT,50013,Grand Isle County,0.9918,0.182
VT,50015,Lamoille County,0.912,0.442
VT,50017,Orange County,0.8084,0.18
VT,50019,Orleans County,0.8464,0.342
VT,50021,Rutland County,0.957,0.571
VT,50023,Washington County,0.9405,0.652
VT,50025,Windham County,0.9039,0.603
VT,50027,Windsor County,0.9576,0.545
VA,51001,Accomack County,0.9048,0.169
VA,51003,Albemarle County,0.9258,0.536
VA,51005,Alleghany County,0.9362,0.706
VA,51007,Amelia County,0.7044,0.154
VA,51009,Amherst County,0.9422,0.374
VA,51011,Appomattox County,0.7673,0.253
VA,51013,Arlington County,0.981,0.776
VA,51015,Augusta County,0.9836,0.271
VA,51017,Bath County,0.7263,0.189
VA,51019,Bedford County,0.8175,0.442
VA,51021,Bland County,0.7895,0.085
VA,51023,Botetourt County,0.8039,0.46
VA,51025,Brunswick County,0.2962,0.045
VA,51027,Buchanan County,1,0.234
VA,51029,Buckingham County,0.3976,0.107
VA,51031,Campbell County,0.7914,0.202
VA,51033,Caroline County,0.6407,0.416
VA,51035,Carroll County,0.9486,0.109
VA,51036,Charles City County,1,0.075
VA,51037,Charlotte County,0.5263,0.094
VA,51041,Chesterfield County,0.9726,0.88
VA,51043,Clarke County,0.9947,0.262
VA,51045,Craig County,0.7472,0.086
VA,51047,Culpeper County,0.9987,0.696
VA,51049,Cumberland County,0.1965,0.05
VA,51051,Dickenson County,0.9777,0.257
VA,51053,Dinwiddie County,0.5476,0.06
VA,51057,Essex County,0.7493,0.414
VA,51059,Fairfax County,0.9848,0.884
VA,51061,Fauquier County,0.9032,0.533
VA,51063,Floyd County,0.7595,0.308
VA,51065,Fluvanna County,0.8218,0.571
VA,51067,Franklin County,0.8811,0.315
VA,51069,Frederick County,0.8305,0.587
VA,51071,Giles County,0.959,0.117
VA,51073,Gloucester County,0.949,0.708
VA,51075,Goochland County,0.669,0.402
VA,51077,Grayson County,0.7522,0.054
VA,51079,Greene County,0.9986,0.54
VA,51081,Greensville County,0.2399,0.377
VA,51083,Halifax County,0.7176,0.265
VA,51085,Hanover County,0.8804,0.634
VA,51087,Henrico County,0.9818,0.726
VA,51089,Henry County,0.9623,0.583
VA,51091,Highland County,0.4817,0.112
VA,51093,Isle of Wight County,0.8583,0.633
VA,51095,James City County,0.9464,0.764
VA,51097,King and Queen County,0.2235,0.065
VA,51099,King George County,0.9335,0.898
VA,51101,King William County,0.4111,0.274
VA,51103,Lancaster County,1,0.493
VA,51105,Lee County,0.8892,0.237
VA,51107,Loudoun County,0.9956,0.883
VA,51109,Louisa County,0.6802,0.21
VA,51111,Lunenburg County,0.2935,0.124
VA,51113,Madison County,1,0.17
VA,51115,Mathews County,0.9606,0.281
VA,51117,Mecklenburg County,0.5716,0.348
VA,51119,Middlesex County,0.9738,0.527
VA,51121,Montgomery County,0.9935,0.385
VA,51125,Nelson County,0.9488,0.445
VA,51127,New Kent County,0.7664,0.624
VA,51131,Northampton County,0.9408,0.219
VA,51133,Northumberland County,1,0.41
VA,51135,Nottoway County,0.5574,0.098
VA,51137,Orange County,0.9977,0.407
VA,51139,Page County,0.9948,0.253
VA,51141,Patrick County,0.4424,0.075
VA,51143,Pittsylvania County,0.7056,0.123
VA,51145,Powhatan County,0.8348,0.802
VA,51147,Prince Edward County,0.6368,0.21
VA,51149,Prince George County,0.896,0.555
VA,51153,Prince William County,0.973,0.818
VA,51155,Pulaski County,0.9979,0.442
VA,51157,Rappahannock County,0.9178,0.258
VA,51159,Richmond County,0.9871,0.462
VA,51161,Roanoke County,0.9877,0.401
VA,51163,Rockbridge County,0.8509,0.416
VA,51165,Rockingham County,0.989,0.278
VA,51167,Russell County,0.895,0.195
VA,51169,Scott County,0.8258,0.331
VA,51171,Shenandoah County,0.9117,0.265
VA,51173,Smyth County,0.935,0.346
VA,51175,Southampton County,0.4755,0.063
VA,51177,Spotsylvania County,0.9845,0.849
VA,51179,Stafford County,0.988,0.885
VA,51181,Surry County,0.9182,0.055
VA,51183,Sussex County,0.4528,0.172
VA,51185,Tazewell County,0.9889,0.347
VA,51187,Warren County,0.9191,0.672
VA,51191,Washington County,0.992,0.568
VA,51193,Westmoreland County,0.9393,0.42
VA,51195,Wise County,0.9637,0.372
VA,51197,Wythe County,0.8974,0.207
VA,51199,York County,0.9834,0.78
VA,51510,Alexandria city,0.9832,0.747
VA,51520,Bristol city,1,0.845
VA,51530,Buena Vista city,0.9724,0.408
VA,51540,Charlottesville city,0.9933,0.855
VA,51550,Chesapeake city,0.9819,0.941
VA,51570,Colonial Heights city,0.9872,1
VA,51580,Covington city,0.9969, -   
VA,51590,Danville city,0.9911,0.795
VA,51595,Emporia city,0.96, -   
VA,51600,Fairfax city,0.9985, -   
VA,51610,Falls Church city,0.986,1
VA,51620,Franklin city,0.9999,0.268
VA,51630,Fredericksburg city,0.9343,0.788
VA,51640,Galax city,0.9998,0.473
VA,51650,Hampton city,0.979,0.813
VA,51660,Harrisonburg city,1,0.795
VA,51670,Hopewell city,0.9831,0.599
VA,51678,Lexington city,0.9612, -   
VA,51680,Lynchburg city,0.9092,0.675
VA,51683,Manassas city,0.9611,1
VA,51685,Manassas Park city,0.9843, -   
VA,51690,Martinsville city,0.9871, -   
VA,51700,Newport News city,0.9834,0.837
VA,51710,Norfolk city,0.9712,0.791
VA,51720,Norton city,0.9663,0.409
VA,51730,Petersburg city,0.9856,0.546
VA,51735,Poquoson city,0.9913,0.776
VA,51740,Portsmouth city,0.9828,0.83
VA,51750,Radford city,0.9995,0.203
VA,51760,Richmond city,0.9476,0.82
VA,51770,Roanoke city,0.9999,0.789
VA,51775,Salem city,1,1
VA,51790,Staunton city,0.9992,0.824
VA,51800,Suffolk city,0.9461,0.816
VA,51810,Virginia Beach city,0.9832,0.843
VA,51820,Waynesboro city,0.9838,1
VA,51830,Williamsburg city,0.7844, -   
VA,51840,Winchester city,0.9978,1
WA,53001,Adams County,0.9352,0.2
WA,53003,Asotin County,0.9307,0.278
WA,53005,Benton County,0.9763,0.707
WA,53007,Chelan County,1,0.688
WA,53009,Clallam County,0.7722,0.538
WA,53011,Clark County,0.9629,0.704
WA,53013,Columbia County,1,0.193
WA,53015,Cowlitz County,0.9121,0.536
WA,53017,Douglas County,1,0.813
WA,53019,Ferry County,0.9961,0.032
WA,53021,Franklin County,0.9993,0.744
WA,53023,Garfield County,0.5982,0.068
WA,53025,Grant County,0.9303,0.64
WA,53027,Grays Harbor County,0.8859,0.562
WA,53029,Island County,0.9871,0.812
WA,53031,Jefferson County,0.8516,0.572
WA,53033,King County,0.9733,0.83
WA,53035,Kitsap County,0.9705,0.709
WA,53037,Kittitas County,0.8708,0.459
WA,53039,Klickitat County,0.6216,0.149
WA,53041,Lewis County,0.7645,0.248
WA,53043,Lincoln County,0.5718,0.125
WA,53045,Mason County,0.9389,0.497
WA,53047,Okanogan County,0.9472,0.216
WA,53049,Pacific County,0.853,0.432
WA,53051,Pend Oreille County,1,0.429
WA,53053,Pierce County,0.9735,0.745
WA,53055,San Juan County,0.974,0.282
WA,53057,Skagit County,0.961,0.588
WA,53059,Skamania County,0.6705,0.312
WA,53061,Snohomish County,0.9735,0.783
WA,53063,Spokane County,1,0.656
WA,53065,Stevens County,1,0.186
WA,53067,Thurston County,0.9762,0.794
WA,53069,Wahkiakum County,0.6246,0.273
WA,53071,Walla Walla County,1,0.663
WA,53073,Whatcom County,0.9769,0.649
WA,53075,Whitman County,0.8471,0.443
WA,53077,Yakima County,0.9404,0.437
WV,54001,Barbour County,0.868,0.155
WV,54003,Berkeley County,0.9646,0.504
WV,54005,Boone County,0.9175,0.123
WV,54007,Braxton County,0.6915,0.076
WV,54009,Brooke County,0.9261,0.17
WV,54011,Cabell County,0.9464,0.476
WV,54013,Calhoun County,0.3043,0.063
WV,54015,Clay County,0.4418,0.051
WV,54017,Doddridge County,0.483,0.099
WV,54019,Fayette County,0.7871,0.181
WV,54021,Gilmer County,0.3886,0.065
WV,54023,Grant County,0.6159,0.159
WV,54025,Greenbrier County,0.7771,0.251
WV,54027,Hampshire County,0.4981,0.058
WV,54029,Hancock County,0.9485,0.663
WV,54031,Hardy County,0.9758,0.337
WV,54033,Harrison County,0.9025,0.409
WV,54035,Jackson County,0.9225,0.134
WV,54037,Jefferson County,0.9775,0.611
WV,54039,Kanawha County,0.9249,0.4
WV,54041,Lewis County,0.8435,0.223
WV,54043,Lincoln County,0.7588,0.174
WV,54045,Logan County,0.7594,0.516
WV,54047,McDowell County,0.8752,0.055
WV,54049,Marion County,0.9282,0.436
WV,54051,Marshall County,0.7918,0.268
WV,54053,Mason County,0.6193,0.281
WV,54055,Mercer County,0.9415,0.427
WV,54057,Mineral County,0.765,0.234
WV,54059,Mingo County,0.6662,0.232
WV,54061,Monongalia County,0.5361,0.562
WV,54063,Monroe County,0.8724,0.058
WV,54065,Morgan County,0.8052,0.389
WV,54067,Nicholas County,0.6407,0.174
WV,54069,Ohio County,0.9582,0.58
WV,54071,Pendleton County,0.5678,0.074
WV,54073,Pleasants County,0.6421,0.092
WV,54075,Pocahontas County,0.706,0.075
WV,54077,Preston County,0.6907,0.162
WV,54079,Putnam County,0.8567,0.483
WV,54081,Raleigh County,0.8935,0.503
WV,54083,Randolph County,0.8178,0.256
WV,54085,Ritchie County,0.4233,0.367
WV,54087,Roane County,0.4219,0.075
WV,54089,Summers County,0.5462,0.087
WV,54091,Taylor County,0.8703,0.302
WV,54093,Tucker County,0.591,0.243
WV,54095,Tyler County,0.426,0.028
WV,54097,Upshur County,0.8481,0.327
WV,54099,Wayne County,0.7837,0.181
WV,54101,Webster County,0.6634,0.062
WV,54103,Wetzel County,0.5059,0.183
WV,54105,Wirt County,0.4377,0.058
WV,54107,Wood County,0.9105,0.547
WV,54109,Wyoming County,0.9258,0.203
WI,55001,Adams County,0.8054,0.308
WI,55003,Ashland County,0.6533,0.277
WI,55005,Barron County,0.7618,0.575
WI,55007,Bayfield County,0.8751,0.492
WI,55009,Brown County,0.9814,0.679
WI,55011,Buffalo County,0.9559,0.322
WI,55013,Burnett County,0.8943,0.325
WI,55015,Calumet County,0.9709,0.222
WI,55017,Chippewa County,0.8763,0.323
WI,55019,Clark County,0.5431,0.101
WI,55021,Columbia County,0.8215,0.348
WI,55023,Crawford County,0.7283,0.478
WI,55025,Dane County,0.9852,0.676
WI,55027,Dodge County,0.79,0.438
WI,55029,Door County,1,0.405
WI,55031,Douglas County,0.7822,0.317
WI,55033,Dunn County,0.7669,0.287
WI,55035,Eau Claire County,0.9256,0.808
WI,55037,Florence County,0.9071,0.114
WI,55039,Fond du Lac County,0.8629,0.595
WI,55041,Forest County,0.655,0.125
WI,55043,Grant County,0.8683,0.3
WI,55045,Green County,0.9976,0.427
WI,55047,Green Lake County,0.7371,0.143
WI,55049,Iowa County,0.8886,0.419
WI,55051,Iron County,0.6295,0.127
WI,55053,Jackson County,0.5932,0.191
WI,55055,Jefferson County,0.9169,0.475
WI,55057,Juneau County,0.7056,0.478
WI,55059,Kenosha County,0.9999,0.636
WI,55061,Kewaunee County,1,0.088
WI,55063,La Crosse County,0.963,0.675
WI,55065,Lafayette County,0.7078,0.194
WI,55067,Langlade County,0.8722,0.37
WI,55069,Lincoln County,0.8207,0.214
WI,55071,Manitowoc County,0.9992,0.556
WI,55073,Marathon County,0.9826,0.53
WI,55075,Marinette County,0.6769,0.342
WI,55077,Marquette County,0.8708,0.258
WI,55078,Menominee County,0.6842,0.124
WI,55079,Milwaukee County,1,0.645
WI,55081,Monroe County,0.7553,0.255
WI,55083,Oconto County,0.6957,0.257
WI,55085,Oneida County,0.843,0.746
WI,55087,Outagamie County,0.9446,0.651
WI,55089,Ozaukee County,0.9894,0.69
WI,55091,Pepin County,0.9728,0.564
WI,55093,Pierce County,0.9577,0.253
WI,55095,Polk County,0.6612,0.329
WI,55097,Portage County,0.9128,0.658
WI,55099,Price County,0.3629,0.171
WI,55101,Racine County,0.9999,0.566
WI,55103,Richland County,0.5141,0.265
WI,55105,Rock County,0.9985,0.634
WI,55107,Rusk County,0.5828,0.356
WI,55109,St. Croix County,0.8702,0.573
WI,55111,Sauk County,0.858,0.7
WI,55113,Sawyer County,0.7216,0.566
WI,55115,Shawano County,0.833,0.168
WI,55117,Sheboygan County,0.9996,0.572
WI,55119,Taylor County,0.5934,0.166
WI,55121,Trempealeau County,0.9242,0.368
WI,55123,Vernon County,0.9597,0.449
WI,55125,Vilas County,0.7092,0.161
WI,55127,Walworth County,0.981,0.642
WI,55129,Washburn County,0.6741,0.168
WI,55131,Washington County,0.9618,0.686
WI,55133,Waukesha County,0.9996,0.745
WI,55135,Waupaca County,0.8009,0.474
WI,55137,Waushara County,0.6183,0.427
WI,55139,Winnebago County,0.997,0.558
WI,55141,Wood County,0.8718,0.689
WY,56001,Albany County,0.9477,0.463
WY,56003,Big Horn County,0.7875,0.426
WY,56005,Campbell County,0.9886,0.505
WY,56007,Carbon County,0.8976,0.366
WY,56009,Converse County,0.9643,0.229
WY,56011,Crook County,0.8503,0.21
WY,56013,Fremont County,0.7941,0.373
WY,56015,Goshen County,0.9972,0.198
WY,56017,Hot Springs County,0.8722,0.381
WY,56019,Johnson County,0.9217,0.456
WY,56021,Laramie County,0.9866,0.805
WY,56023,Lincoln County,0.8888,0.5
WY,56025,Natrona County,0.9445,0.624
WY,56027,Niobrara County,0.8854,0.112
WY,56029,Park County,0.6823,0.531
WY,56031,Platte County,0.9304,0.106
WY,56033,Sheridan County,0.9799,0.499
WY,56035,Sublette County,0.954,0.145
WY,56037,Sweetwater County,0.9422,0.4
WY,56039,Teton County,0.9508,0.623
WY,56041,Uinta County,0.9963,0.431
WY,56043,Washakie County,0.8903,0.571
WY,56045,Weston County,0.8937,0.152
